Age,Gender,Weight(kg),Daily Water Intake (liters),Physical Activity Level,Hydration Level
21,Female,98.01,3.62,Moderate,At Risk of Dehydration
55,Male,87.43,2.32,Low,Hydrated
27,Male,73.97,1.01,High,At Risk of Dehydration
51,Female,75.92,1.7,Moderate,At Risk of Dehydration
38,Female,85.64,2.84,High,At Risk of Dehydration
35,Female,49.34,3.12,Low,At Risk of Dehydration
53,Male,89.9,2.37,Moderate,At Risk of Dehydration
46,Male,49.51,2.47,Low,At Risk of Dehydration
55,Female,83.65,2.44,Low,At Risk of Dehydration
56,Male,46.28,2.82,Low,Hydrated
57,Female,94.47,2.23,Moderate,At Risk of Dehydration
47,Female,59.53,2.87,High,At Risk of Dehydration
44,Female,59.31,1.38,Low,At Risk of Dehydration
41,Female,75.8,3.27,High,Hydrated
58,Male,68.26,3.52,Low,Hydrated
37,Female,63.52,2.56,High,At Risk of Dehydration
37,Female,91.05,3.04,Moderate,Hydrated
54,Female,59.39,3.82,High,Hydrated
31,Male,49.33,3.32,Low,At Risk of Dehydration
35,Male,89.56,2.35,High,At Risk of Dehydration
31,Male,50.21,2.62,High,At Risk of Dehydration
20,Female,81.43,3.91,Moderate,At Risk of Dehydration
58,Male,81.74,2.47,Low,At Risk of Dehydration
19,Male,97.55,1.3,Moderate,At Risk of Dehydration
20,Male,93.88,3.84,Moderate,Hydrated
54,Male,90.16,2.09,Low,At Risk of Dehydration
27,Male,68.12,2.5,Moderate,At Risk of Dehydration
23,Female,80.01,1.27,Low,At Risk of Dehydration
51,Female,48.03,1.05,Moderate,At Risk of Dehydration
58,Female,78.52,3.0,Low,At Risk of Dehydration
25,Female,87.21,3.39,Moderate,Hydrated
59,Female,59.2,3.44,Low,At Risk of Dehydration
39,Male,68.75,3.11,Low,At Risk of Dehydration
33,Male,97.9,2.03,Low,At Risk of Dehydration
24,Male,83.44,2.83,Low,At Risk of Dehydration
46,Female,82.49,2.81,Moderate,At Risk of Dehydration
52,Male,64.45,1.66,High,Hydrated
54,Male,53.32,2.89,High,At Risk of Dehydration
37,Female,86.03,2.37,Low,At Risk of Dehydration
22,Female,95.23,1.9,High,At Risk of Dehydration
35,Female,95.39,1.94,High,At Risk of Dehydration
21,Female,93.69,1.88,High,At Risk of Dehydration
46,Female,84.71,1.87,Low,At Risk of Dehydration
26,Male,72.97,2.4,Moderate,At Risk of Dehydration
19,Male,67.29,1.74,High,At Risk of Dehydration
30,Male,93.52,3.32,Moderate,At Risk of Dehydration
32,Female,98.1,2.32,Low,Hydrated
52,Male,81.38,2.22,Moderate,At Risk of Dehydration
32,Female,73.53,1.31,Low,At Risk of Dehydration
34,Male,97.89,2.75,Moderate,Hydrated
33,Male,88.0,1.5,High,At Risk of Dehydration
35,Male,46.68,1.63,High,At Risk of Dehydration
32,Female,79.13,1.19,High,At Risk of Dehydration
48,Male,83.07,3.38,Low,Hydrated
59,Female,57.77,2.65,High,At Risk of Dehydration
56,Female,70.69,1.32,Low,At Risk of Dehydration
48,Female,59.01,3.96,High,At Risk of Dehydration
45,Male,97.91,1.02,High,At Risk of Dehydration
43,Male,47.39,3.06,Low,At Risk of Dehydration
32,Female,62.49,1.7,Moderate,At Risk of Dehydration
45,Male,54.48,3.77,Moderate,Hydrated
58,Female,89.01,1.59,Moderate,Hydrated
26,Female,46.03,1.21,Moderate,At Risk of Dehydration
34,Female,85.51,3.78,Moderate,At Risk of Dehydration
42,Male,55.64,3.73,Moderate,Hydrated
38,Male,87.38,1.65,Low,At Risk of Dehydration
42,Female,57.97,2.12,High,At Risk of Dehydration
42,Female,85.35,1.37,Low,At Risk of Dehydration
29,Male,64.68,3.7,Moderate,Hydrated
33,Female,73.97,2.39,High,At Risk of Dehydration
22,Male,71.95,2.91,Low,Hydrated
40,Female,78.95,2.57,Low,Hydrated
48,Female,58.17,1.1,High,At Risk of Dehydration
23,Male,92.97,1.92,High,At Risk of Dehydration
39,Male,95.87,2.92,Low,Hydrated
53,Female,67.94,2.65,Low,Hydrated
18,Male,91.3,1.28,Low,At Risk of Dehydration
43,Female,84.97,1.72,High,At Risk of Dehydration
43,Male,85.12,3.67,Moderate,Hydrated
32,Male,66.9,3.86,Low,Hydrated
44,Female,78.28,3.27,Low,Hydrated
24,Male,94.06,1.0,Moderate,At Risk of Dehydration
54,Male,85.05,1.46,Low,At Risk of Dehydration
32,Female,53.5,3.52,Low,Hydrated
18,Female,57.79,1.54,Moderate,At Risk of Dehydration
57,Female,50.27,2.71,High,At Risk of Dehydration
59,Female,96.43,3.83,Low,Hydrated
31,Female,64.5,3.65,Low,At Risk of Dehydration
47,Female,71.42,1.86,High,At Risk of Dehydration
46,Male,91.07,3.42,Low,At Risk of Dehydration
23,Female,93.46,1.4,High,Hydrated
32,Male,99.45,1.05,Moderate,At Risk of Dehydration
52,Male,47.18,3.43,Low,At Risk of Dehydration
22,Female,77.73,3.98,Moderate,Hydrated
56,Male,94.63,2.7,Low,At Risk of Dehydration
38,Male,77.48,3.26,High,At Risk of Dehydration
46,Female,64.62,1.2,High,At Risk of Dehydration
48,Male,64.57,2.7,Moderate,Hydrated
48,Male,71.54,3.73,Moderate,Hydrated
18,Male,95.61,2.05,Low,At Risk of Dehydration
27,Male,57.34,3.9,High,At Risk of Dehydration
58,Female,69.57,1.2,High,At Risk of Dehydration
25,Female,74.39,3.62,Moderate,Hydrated
47,Female,91.8,1.58,High,At Risk of Dehydration
34,Female,66.6,1.78,Moderate,At Risk of Dehydration
45,Female,69.12,2.08,Moderate,At Risk of Dehydration
39,Male,76.05,3.77,High,Hydrated
27,Male,89.16,2.45,Moderate,At Risk of Dehydration
32,Male,80.45,1.71,High,At Risk of Dehydration
39,Male,72.9,1.48,Moderate,At Risk of Dehydration
46,Male,74.65,3.99,High,Hydrated
20,Female,83.69,2.52,High,At Risk of Dehydration
42,Male,59.76,1.94,Moderate,At Risk of Dehydration
36,Female,88.99,3.17,Low,Hydrated
21,Male,74.73,1.28,High,At Risk of Dehydration
48,Male,53.7,3.05,Low,Hydrated
38,Male,66.01,3.88,High,Hydrated
43,Male,47.05,1.96,High,At Risk of Dehydration
27,Male,81.62,2.51,Low,At Risk of Dehydration
47,Male,49.65,3.69,Low,At Risk of Dehydration
52,Female,99.46,3.86,Moderate,Hydrated
28,Female,81.4,2.23,Moderate,At Risk of Dehydration
32,Female,45.08,2.43,Low,At Risk of Dehydration
35,Male,90.8,3.68,Moderate,Hydrated
43,Male,77.39,1.29,High,At Risk of Dehydration
37,Female,68.38,1.85,Low,At Risk of Dehydration
31,Male,81.32,1.52,High,At Risk of Dehydration
24,Female,47.45,2.37,Low,At Risk of Dehydration
36,Female,88.55,1.12,Low,At Risk of Dehydration
50,Male,84.52,1.93,High,At Risk of Dehydration
56,Female,58.38,3.98,High,Hydrated
40,Male,69.19,1.46,Moderate,At Risk of Dehydration
51,Male,65.34,2.92,Moderate,At Risk of Dehydration
33,Male,65.6,2.5,Moderate,Hydrated
40,Female,94.9,3.94,Moderate,At Risk of Dehydration
55,Male,98.82,2.43,Moderate,At Risk of Dehydration
42,Female,70.92,1.04,Moderate,At Risk of Dehydration
47,Female,73.81,3.18,High,At Risk of Dehydration
52,Male,75.14,2.8,Low,At Risk of Dehydration
40,Male,45.91,2.85,High,At Risk of Dehydration
48,Male,55.19,2.64,Moderate,At Risk of Dehydration
23,Female,55.32,1.7,Moderate,At Risk of Dehydration
35,Male,62.97,1.11,Low,At Risk of Dehydration
30,Male,75.77,2.89,Low,Hydrated
50,Male,76.18,1.02,High,At Risk of Dehydration
27,Female,82.25,2.75,High,At Risk of Dehydration
36,Male,97.28,3.33,Low,At Risk of Dehydration
58,Female,65.14,3.98,Low,Hydrated
53,Male,89.05,3.89,Low,Hydrated
57,Female,78.75,2.84,Moderate,At Risk of Dehydration
42,Female,57.32,2.39,Low,At Risk of Dehydration
35,Male,68.47,3.29,High,Hydrated
28,Female,70.06,3.98,High,Hydrated
35,Male,94.02,3.68,Low,Hydrated
35,Male,90.47,3.0,High,At Risk of Dehydration
53,Male,86.98,2.93,Moderate,At Risk of Dehydration
36,Female,90.5,3.42,Moderate,Hydrated
18,Male,95.25,1.22,High,At Risk of Dehydration
43,Male,45.65,1.39,High,At Risk of Dehydration
45,Male,88.65,1.26,Low,At Risk of Dehydration
34,Male,65.43,1.6,High,At Risk of Dehydration
32,Female,97.63,1.53,Low,At Risk of Dehydration
42,Female,78.38,1.24,Moderate,At Risk of Dehydration
34,Male,77.76,3.67,High,At Risk of Dehydration
40,Male,62.53,1.01,Moderate,At Risk of Dehydration
49,Female,52.48,3.37,Low,Hydrated
19,Female,75.05,2.6,Moderate,Hydrated
35,Male,48.27,3.93,High,At Risk of Dehydration
50,Female,52.42,3.95,Moderate,Hydrated
42,Female,77.19,1.61,Moderate,At Risk of Dehydration
51,Female,91.96,2.14,Moderate,At Risk of Dehydration
45,Male,90.34,1.27,Moderate,At Risk of Dehydration
21,Female,58.51,3.7,Moderate,Hydrated
54,Male,72.13,3.34,High,At Risk of Dehydration
43,Male,56.98,1.53,Low,At Risk of Dehydration
28,Female,59.68,1.07,High,At Risk of Dehydration
27,Male,52.4,2.95,High,At Risk of Dehydration
55,Male,62.89,1.67,Low,At Risk of Dehydration
30,Female,77.99,3.01,Low,Hydrated
27,Male,68.76,3.28,Low,Hydrated
41,Female,81.63,3.42,Low,Hydrated
34,Female,72.67,1.43,Moderate,At Risk of Dehydration
50,Female,60.61,3.97,High,At Risk of Dehydration
25,Female,86.13,3.57,High,Hydrated
26,Male,66.93,1.25,Low,At Risk of Dehydration
59,Female,85.73,3.2,Moderate,Hydrated
41,Female,77.16,2.82,Moderate,At Risk of Dehydration
36,Male,96.51,2.65,High,At Risk of Dehydration
45,Male,82.36,2.52,High,At Risk of Dehydration
21,Female,71.08,2.44,Moderate,At Risk of Dehydration
23,Female,81.8,3.46,High,Hydrated
47,Male,80.98,3.56,Low,At Risk of Dehydration
25,Female,92.13,1.12,Moderate,At Risk of Dehydration
29,Female,98.07,3.48,High,At Risk of Dehydration
19,Female,70.98,3.39,High,Hydrated
24,Female,82.43,2.31,Low,At Risk of Dehydration
28,Female,66.28,2.85,Low,Hydrated
21,Female,68.02,1.61,Low,At Risk of Dehydration
46,Female,57.54,1.28,High,At Risk of Dehydration
51,Male,55.59,3.18,High,At Risk of Dehydration
44,Female,96.26,3.75,High,At Risk of Dehydration
34,Male,49.27,1.15,Low,At Risk of Dehydration
41,Female,64.35,1.78,High,At Risk of Dehydration
54,Male,56.07,3.86,Moderate,Hydrated
58,Female,80.79,3.69,Moderate,Hydrated
58,Male,77.59,2.39,Low,Hydrated
50,Female,47.2,1.24,Moderate,At Risk of Dehydration
42,Female,77.6,3.95,Moderate,At Risk of Dehydration
49,Female,94.31,3.29,Low,Hydrated
40,Female,95.36,2.98,Low,Hydrated
38,Male,64.0,2.52,Low,At Risk of Dehydration
41,Male,73.2,2.43,High,At Risk of Dehydration
51,Female,69.19,3.96,High,At Risk of Dehydration
53,Male,78.64,1.15,High,Hydrated
33,Female,96.46,1.72,Moderate,At Risk of Dehydration
26,Female,45.72,3.72,Moderate,Hydrated
25,Female,97.7,2.71,Low,At Risk of Dehydration
49,Male,96.17,1.18,Moderate,At Risk of Dehydration
38,Female,82.81,2.64,Moderate,Hydrated
34,Female,52.14,3.5,Moderate,Hydrated
20,Female,45.9,1.8,Low,At Risk of Dehydration
42,Female,75.65,2.79,Low,Hydrated
37,Female,55.39,3.28,Low,Hydrated
21,Male,64.76,1.41,Moderate,At Risk of Dehydration
50,Male,98.6,1.04,Moderate,At Risk of Dehydration
58,Male,56.81,3.22,High,At Risk of Dehydration
25,Male,65.64,2.21,High,At Risk of Dehydration
44,Female,61.75,2.11,High,At Risk of Dehydration
58,Male,64.44,1.6,High,Hydrated
59,Female,92.42,2.49,Low,Hydrated
24,Male,70.71,3.44,Low,Hydrated
56,Female,76.9,2.36,High,At Risk of Dehydration
36,Female,91.1,1.89,Moderate,At Risk of Dehydration
55,Male,98.16,1.66,Moderate,At Risk of Dehydration
18,Male,93.15,1.73,Low,At Risk of Dehydration
53,Female,96.37,2.3,Low,At Risk of Dehydration
23,Female,51.72,2.01,High,At Risk of Dehydration
39,Female,52.76,2.4,Moderate,At Risk of Dehydration
53,Female,74.97,1.68,High,At Risk of Dehydration
20,Female,91.9,1.17,High,At Risk of Dehydration
38,Female,52.23,2.87,Moderate,At Risk of Dehydration
51,Male,90.66,2.46,High,At Risk of Dehydration
47,Female,69.17,2.18,Moderate,Hydrated
31,Male,83.1,1.98,Moderate,At Risk of Dehydration
20,Male,94.12,1.12,Low,At Risk of Dehydration
25,Male,84.44,1.46,Low,At Risk of Dehydration
50,Male,74.5,1.84,Moderate,At Risk of Dehydration
49,Female,95.4,3.48,Low,Hydrated
30,Male,58.65,1.85,Low,At Risk of Dehydration
47,Male,78.65,3.77,High,At Risk of Dehydration
46,Female,56.84,1.41,Moderate,At Risk of Dehydration
59,Male,82.45,3.65,Low,Hydrated
25,Male,83.64,2.76,Moderate,At Risk of Dehydration
56,Female,79.59,2.83,High,At Risk of Dehydration
26,Male,48.23,2.71,Moderate,Hydrated
22,Female,54.96,2.76,Low,At Risk of Dehydration
25,Male,45.51,2.28,Low,At Risk of Dehydration
48,Female,99.04,3.16,Low,At Risk of Dehydration
30,Male,95.41,3.64,High,Hydrated
53,Female,69.48,2.11,High,At Risk of Dehydration
52,Male,47.65,2.19,High,At Risk of Dehydration
48,Female,74.65,1.44,Low,At Risk of Dehydration
54,Male,66.22,3.68,Moderate,Hydrated
38,Female,82.33,1.11,Moderate,At Risk of Dehydration
44,Female,88.52,1.32,Moderate,At Risk of Dehydration
55,Male,57.82,2.31,High,At Risk of Dehydration
56,Male,72.9,2.89,Moderate,At Risk of Dehydration
22,Female,62.77,1.46,High,At Risk of Dehydration
34,Male,73.49,2.06,Moderate,At Risk of Dehydration
21,Male,80.34,2.61,Low,Hydrated
32,Male,55.27,3.91,Low,At Risk of Dehydration
40,Female,87.77,3.36,Moderate,At Risk of Dehydration
18,Male,96.09,1.8,Low,At Risk of Dehydration
46,Male,61.56,1.76,High,Hydrated
44,Female,68.34,2.41,Moderate,At Risk of Dehydration
56,Female,57.13,2.87,High,At Risk of Dehydration
32,Male,95.3,2.71,High,At Risk of Dehydration
54,Male,50.35,2.46,Low,Hydrated
46,Male,81.89,1.22,Low,At Risk of Dehydration
44,Female,48.82,3.29,High,Hydrated
18,Male,92.98,1.31,Low,At Risk of Dehydration
48,Female,85.23,1.77,Low,At Risk of Dehydration
43,Female,85.65,3.84,High,Hydrated
58,Female,81.59,3.32,High,Hydrated
56,Male,46.98,2.34,High,At Risk of Dehydration
28,Female,86.83,1.64,Moderate,At Risk of Dehydration
52,Male,95.59,1.78,High,At Risk of Dehydration
41,Male,50.27,2.38,Moderate,At Risk of Dehydration
34,Male,97.06,3.46,Moderate,At Risk of Dehydration
53,Male,93.06,2.18,Moderate,At Risk of Dehydration
40,Female,50.91,2.81,Low,Hydrated
59,Female,76.23,2.77,High,At Risk of Dehydration
51,Female,66.54,3.21,Moderate,Hydrated
42,Male,47.99,1.06,Moderate,At Risk of Dehydration
42,Female,56.29,2.22,Low,At Risk of Dehydration
31,Female,58.12,3.49,Low,Hydrated
25,Male,49.07,2.04,Moderate,At Risk of Dehydration
39,Female,61.5,3.2,High,Hydrated
43,Female,72.15,1.82,Low,At Risk of Dehydration
34,Female,64.13,1.02,Low,At Risk of Dehydration
21,Male,94.04,3.7,Low,Hydrated
57,Male,51.82,1.19,Moderate,At Risk of Dehydration
50,Female,58.39,1.51,Moderate,At Risk of Dehydration
38,Male,56.47,1.87,Low,At Risk of Dehydration
56,Female,63.88,2.31,Moderate,At Risk of Dehydration
28,Male,98.46,2.75,Low,At Risk of Dehydration
34,Male,97.5,1.72,Low,Hydrated
24,Female,55.85,2.38,Moderate,At Risk of Dehydration
37,Female,86.03,1.39,Low,At Risk of Dehydration
43,Female,77.25,1.04,Low,At Risk of Dehydration
51,Female,73.51,1.73,High,At Risk of Dehydration
43,Female,87.62,3.64,Moderate,Hydrated
23,Male,55.45,2.05,Low,At Risk of Dehydration
21,Male,90.7,3.51,Low,At Risk of Dehydration
47,Male,82.21,3.14,High,At Risk of Dehydration
20,Male,85.57,3.07,Moderate,At Risk of Dehydration
26,Female,52.86,2.22,Low,At Risk of Dehydration
53,Female,89.3,2.63,Low,At Risk of Dehydration
55,Female,55.8,1.95,Moderate,Hydrated
40,Female,72.11,2.23,Low,At Risk of Dehydration
23,Male,88.18,1.06,High,At Risk of Dehydration
37,Female,59.52,1.86,Low,At Risk of Dehydration
22,Female,74.79,2.34,High,At Risk of Dehydration
49,Female,63.19,3.95,Moderate,Hydrated
36,Male,98.27,1.04,Low,At Risk of Dehydration
27,Female,74.19,2.01,Low,At Risk of Dehydration
51,Female,59.44,2.31,High,Hydrated
49,Female,65.19,2.25,High,Hydrated
41,Female,64.93,3.36,High,Hydrated
25,Male,52.64,1.54,Moderate,At Risk of Dehydration
48,Female,90.02,3.01,Low,At Risk of Dehydration
25,Male,76.25,3.72,Low,At Risk of Dehydration
48,Female,55.66,3.62,Moderate,Hydrated
37,Male,75.41,2.34,Low,Hydrated
38,Female,47.82,2.4,Moderate,Hydrated
50,Female,70.91,2.56,High,At Risk of Dehydration
28,Female,94.67,2.37,High,At Risk of Dehydration
28,Male,70.05,1.38,Moderate,At Risk of Dehydration
33,Female,48.9,3.9,Low,Hydrated
25,Female,98.04,2.26,High,At Risk of Dehydration
42,Female,84.35,2.39,High,At Risk of Dehydration
35,Male,54.41,1.22,Low,At Risk of Dehydration
49,Male,76.34,3.77,High,Hydrated
28,Male,89.16,2.22,Moderate,At Risk of Dehydration
33,Female,98.48,1.17,Moderate,At Risk of Dehydration
50,Male,68.6,1.97,High,At Risk of Dehydration
24,Male,58.42,3.98,Low,At Risk of Dehydration
51,Female,71.85,1.01,Moderate,At Risk of Dehydration
32,Male,83.75,3.5,High,At Risk of Dehydration
24,Male,62.67,1.58,High,At Risk of Dehydration
59,Female,64.23,2.89,Low,Hydrated
42,Female,51.03,2.95,Low,At Risk of Dehydration
30,Female,88.44,2.3,High,At Risk of Dehydration
37,Male,83.86,3.97,Moderate,Hydrated
37,Female,76.52,3.05,Low,Hydrated
30,Male,72.42,3.51,Low,Hydrated
58,Male,50.29,2.28,Moderate,At Risk of Dehydration
59,Female,49.76,1.64,Moderate,At Risk of Dehydration
34,Female,66.33,1.25,Moderate,At Risk of Dehydration
40,Male,83.42,1.56,High,At Risk of Dehydration
28,Male,90.13,2.23,Moderate,At Risk of Dehydration
49,Male,51.7,2.6,Low,At Risk of Dehydration
37,Female,72.16,2.59,Moderate,At Risk of Dehydration
30,Male,74.52,1.73,High,At Risk of Dehydration
27,Male,73.29,1.03,Low,At Risk of Dehydration
30,Male,73.44,3.01,Low,At Risk of Dehydration
59,Female,56.99,3.37,High,Hydrated
36,Female,70.54,1.05,High,At Risk of Dehydration
40,Male,97.01,1.17,Low,At Risk of Dehydration
22,Female,63.79,2.65,High,At Risk of Dehydration
27,Male,77.16,2.41,Moderate,At Risk of Dehydration
22,Female,74.76,1.51,High,At Risk of Dehydration
21,Female,78.32,1.49,Low,At Risk of Dehydration
20,Male,76.66,2.07,High,At Risk of Dehydration
30,Male,75.07,3.85,Moderate,Hydrated
52,Female,93.44,3.9,Low,Hydrated
55,Male,45.36,3.04,Moderate,At Risk of Dehydration
53,Male,85.51,2.15,High,At Risk of Dehydration
28,Male,51.96,3.66,Moderate,At Risk of Dehydration
45,Male,94.75,1.27,Moderate,At Risk of Dehydration
40,Male,58.32,2.84,High,At Risk of Dehydration
46,Female,80.3,1.31,High,At Risk of Dehydration
19,Female,72.57,1.62,Low,At Risk of Dehydration
24,Male,75.02,3.7,Moderate,At Risk of Dehydration
36,Female,96.25,3.53,Moderate,Hydrated
42,Female,97.5,3.05,Low,Hydrated
33,Male,54.8,2.01,High,At Risk of Dehydration
55,Male,95.78,1.86,High,At Risk of Dehydration
40,Male,79.36,3.92,High,At Risk of Dehydration
21,Male,50.72,3.71,Moderate,Hydrated
34,Male,60.55,1.95,High,At Risk of Dehydration
53,Male,45.42,3.43,Moderate,At Risk of Dehydration
33,Female,48.58,1.25,Moderate,Hydrated
35,Male,76.99,2.22,Low,At Risk of Dehydration
31,Male,75.98,1.57,High,At Risk of Dehydration
29,Male,76.73,2.45,Moderate,At Risk of Dehydration
18,Female,78.5,3.23,Moderate,Hydrated
28,Female,80.59,1.62,High,At Risk of Dehydration
27,Male,58.87,3.23,Low,At Risk of Dehydration
57,Male,51.95,2.03,Low,Hydrated
46,Female,48.06,1.35,High,At Risk of Dehydration
22,Female,90.86,2.15,High,At Risk of Dehydration
22,Male,60.2,3.0,Low,At Risk of Dehydration
20,Male,62.4,4.0,High,At Risk of Dehydration
42,Female,69.67,3.42,Low,Hydrated
43,Female,62.14,3.62,Low,Hydrated
49,Female,51.86,1.27,Low,At Risk of Dehydration
26,Female,79.1,3.52,Moderate,Hydrated
21,Male,98.47,2.39,Low,At Risk of Dehydration
33,Female,66.05,2.61,Low,At Risk of Dehydration
54,Female,98.7,2.03,High,At Risk of Dehydration
40,Male,65.06,3.03,High,At Risk of Dehydration
36,Male,92.51,1.58,High,At Risk of Dehydration
53,Male,92.14,3.73,Low,Hydrated
43,Female,73.97,2.27,Low,At Risk of Dehydration
48,Female,52.77,3.09,High,At Risk of Dehydration
47,Female,59.69,3.33,Low,Hydrated
40,Male,87.9,2.68,High,At Risk of Dehydration
54,Male,85.68,3.48,Low,Hydrated
22,Male,99.67,3.37,Moderate,Hydrated
41,Male,61.02,1.68,Moderate,At Risk of Dehydration
57,Male,77.38,2.38,High,At Risk of Dehydration
47,Female,73.26,3.99,Low,Hydrated
53,Male,95.29,3.58,Low,Hydrated
52,Female,94.8,2.69,High,At Risk of Dehydration
35,Male,59.2,2.81,Moderate,At Risk of Dehydration
29,Female,96.76,2.32,Moderate,At Risk of Dehydration
34,Female,62.89,2.78,High,At Risk of Dehydration
18,Male,75.0,2.08,Moderate,At Risk of Dehydration
54,Male,82.43,1.4,Low,At Risk of Dehydration
59,Male,75.38,2.98,Low,At Risk of Dehydration
37,Female,45.44,1.84,Moderate,At Risk of Dehydration
55,Male,85.52,2.24,High,At Risk of Dehydration
53,Male,48.12,1.16,Moderate,At Risk of Dehydration
49,Female,67.89,2.73,Moderate,At Risk of Dehydration
44,Male,96.86,3.94,High,Hydrated
21,Male,90.7,3.51,Low,At Risk of Dehydration
52,Male,82.65,2.9,High,Hydrated
57,Female,59.98,1.71,Moderate,At Risk of Dehydration
25,Female,48.24,2.7,High,Hydrated
41,Female,51.61,1.18,Moderate,At Risk of Dehydration
23,Female,68.63,2.48,Low,At Risk of Dehydration
18,Male,63.83,3.49,Moderate,At Risk of Dehydration
34,Female,69.08,1.97,Moderate,At Risk of Dehydration
32,Male,51.66,1.12,High,At Risk of Dehydration
59,Male,68.52,2.29,High,At Risk of Dehydration
21,Male,46.04,2.65,Low,At Risk of Dehydration
37,Female,98.23,2.59,High,At Risk of Dehydration
49,Male,63.65,2.5,Low,At Risk of Dehydration
35,Female,55.14,2.37,High,At Risk of Dehydration
54,Female,55.94,3.81,High,Hydrated
18,Female,84.77,2.73,High,At Risk of Dehydration
37,Male,60.33,2.02,High,At Risk of Dehydration
57,Male,66.83,3.36,Moderate,At Risk of Dehydration
29,Female,83.34,3.76,Low,Hydrated
51,Male,94.75,3.27,Moderate,Hydrated
44,Female,69.08,2.03,Low,At Risk of Dehydration
45,Male,77.09,2.75,Moderate,At Risk of Dehydration
45,Female,90.2,1.57,Moderate,At Risk of Dehydration
56,Female,82.93,1.58,Moderate,At Risk of Dehydration
28,Male,70.97,3.63,Moderate,Hydrated
35,Female,66.51,1.67,Moderate,Hydrated
31,Female,90.03,2.76,Moderate,At Risk of Dehydration
41,Female,84.83,2.69,Moderate,At Risk of Dehydration
40,Female,58.74,1.33,Low,At Risk of Dehydration
42,Female,87.9,1.8,Moderate,At Risk of Dehydration
27,Male,47.1,3.57,High,At Risk of Dehydration
38,Male,89.89,2.12,High,At Risk of Dehydration
59,Male,97.59,3.91,Low,Hydrated
51,Male,96.3,1.97,Moderate,At Risk of Dehydration
34,Male,62.85,3.76,High,Hydrated
47,Male,97.78,2.23,Moderate,At Risk of Dehydration
58,Female,90.04,3.39,Moderate,Hydrated
38,Male,47.57,3.21,Low,Hydrated
36,Female,91.25,3.61,High,At Risk of Dehydration
25,Male,84.25,1.99,Moderate,At Risk of Dehydration
59,Female,86.66,3.24,Low,Hydrated
21,Female,72.57,1.95,High,At Risk of Dehydration
32,Female,83.11,2.61,Low,At Risk of Dehydration
43,Male,70.24,1.59,High,At Risk of Dehydration
20,Female,88.13,1.94,Low,At Risk of Dehydration
43,Male,80.48,1.41,Moderate,At Risk of Dehydration
24,Female,62.97,3.27,High,Hydrated
58,Male,82.39,3.35,Moderate,At Risk of Dehydration
35,Male,94.22,2.54,Low,Hydrated
33,Female,97.83,3.52,Low,Hydrated
26,Female,45.15,3.9,Low,Hydrated
50,Female,68.04,1.49,Low,At Risk of Dehydration
29,Male,70.53,1.82,High,At Risk of Dehydration
20,Female,75.61,1.66,High,At Risk of Dehydration
44,Male,68.54,1.95,High,At Risk of Dehydration
51,Female,56.76,2.79,Moderate,At Risk of Dehydration
42,Female,61.04,3.59,Moderate,At Risk of Dehydration
37,Female,46.67,1.11,Moderate,At Risk of Dehydration
38,Female,94.55,3.1,Low,Hydrated
38,Male,60.02,2.76,Low,Hydrated
42,Male,95.26,2.3,Moderate,At Risk of Dehydration
35,Female,74.13,2.15,Low,At Risk of Dehydration
29,Male,89.99,1.4,Moderate,At Risk of Dehydration
36,Male,76.45,1.05,Moderate,At Risk of Dehydration
21,Male,95.25,1.75,Moderate,At Risk of Dehydration
52,Male,64.03,1.03,Low,At Risk of Dehydration
28,Male,54.07,1.23,Moderate,At Risk of Dehydration
37,Male,61.25,3.82,Moderate,Hydrated
57,Male,65.43,1.38,Low,At Risk of Dehydration
50,Female,82.86,3.02,Moderate,At Risk of Dehydration
34,Male,77.93,2.14,Moderate,At Risk of Dehydration
53,Male,72.75,3.55,Low,Hydrated
51,Female,47.11,1.19,Moderate,At Risk of Dehydration
19,Female,68.33,1.05,High,At Risk of Dehydration
22,Male,78.85,2.81,Moderate,At Risk of Dehydration
45,Male,97.7,2.32,Low,At Risk of Dehydration
58,Female,46.65,2.76,Low,Hydrated
20,Female,65.2,3.89,High,Hydrated
24,Female,61.78,2.05,Low,At Risk of Dehydration
46,Male,69.53,2.18,High,At Risk of Dehydration
39,Female,83.97,1.29,Moderate,At Risk of Dehydration
27,Male,75.9,1.66,Moderate,At Risk of Dehydration
21,Male,94.73,3.57,Low,Hydrated
46,Female,49.37,1.38,Low,At Risk of Dehydration
27,Male,71.77,2.37,Low,At Risk of Dehydration
53,Male,69.63,1.39,Moderate,At Risk of Dehydration
52,Female,85.35,1.36,High,At Risk of Dehydration
43,Female,49.1,3.85,High,Hydrated
29,Male,67.25,2.55,High,At Risk of Dehydration
48,Male,79.64,1.93,Low,At Risk of Dehydration
52,Male,62.86,2.91,Low,Hydrated
41,Male,53.47,1.68,Low,At Risk of Dehydration
21,Male,67.67,3.05,Moderate,At Risk of Dehydration
34,Female,45.87,1.14,High,At Risk of Dehydration
54,Female,96.21,2.09,Moderate,At Risk of Dehydration
48,Male,53.77,2.54,Moderate,At Risk of Dehydration
52,Female,72.05,2.98,High,Hydrated
39,Male,68.98,1.74,Low,At Risk of Dehydration
36,Male,88.48,2.98,Moderate,Hydrated
38,Male,91.13,3.1,Moderate,Hydrated
46,Male,55.06,3.68,High,Hydrated
42,Female,67.36,1.39,Low,At Risk of Dehydration
